song title,artist/band name,year,lyrics url
Emotional Weather Report,"Waits, Tom",1975,https://www.azlyrics.com/lyrics/tomwaits/emotionalweatherreport.html
Love Is Everywhere,John Denver,1975,https://www.azlyrics.com/lyrics/johndenver/loveiseverywhere.html
Deal,Tom T. Hall,1975,https://www.azlyrics.com/lyrics/tomthall/deal.html
Wild Night,"Rivers, Johnny",1976,https://www.azlyrics.com/lyrics/johnnyrivers/wildnight.html
I Don't Feel Like Lovin' You,"Twitty, Conway",1976,https://www.azlyrics.com/lyrics/conwaytwitty/idontfeellikelovinyou.html
Summer Evening Lady,"Cats, The",1976,https://www.azlyrics.com/lyrics/cats/summereveninglady.html
Mein Leben Ist Ein Souvenir,Demis Roussos,1976,https://www.azlyrics.com/lyrics/demisroussos/meinlebenisteinsouvenir.html
With Your Love,Jefferson Starship,1976,https://www.azlyrics.com/lyrics/jeffersonstarship/withyourlove.html
Yellow Roses,Ry Cooder,1976,https://www.azlyrics.com/lyrics/rycooder/yellowroses.html
Colpa Mia,Mina,1976,https://www.azlyrics.com/lyrics/mina/colpamia.html
Like A Hurricane,"Young, Neil",1977,https://www.azlyrics.com/lyrics/neilyoung/likeahurricane.html
Ride Me Down Easy,"Coe, David Allan",1977,https://www.azlyrics.com/lyrics/davidallancoe/ridemedowneasy.html
Secret O' Life,James Taylor,1977,https://www.azlyrics.com/lyrics/jamestaylor/secretolife.html
Alev Alev,"Aksu, Sezen",1977,https://www.azlyrics.com/lyrics/sezenaksu/alevalev.html
The Same Love That Made Me Laugh,Diana Ross,1977,https://www.azlyrics.com/lyrics/dianaross/thesamelovethatmademelaugh.html
Tennessee Stud,Arlo Guthrie,1978,https://www.azlyrics.com/lyrics/arloguthrie/tennesseestud.html
Bad Brain,Ramones,1978,https://www.azlyrics.com/lyrics/ramones/badbrain.html
I Got It Bad And That Ain't Good,"Summer, Donna",1978,https://www.azlyrics.com/lyrics/donnasummer/igotitbadandthataintgood.html
"Lucy, The Junk Dealer's Daughter",Tom Paxton,1978,https://www.azlyrics.com/lyrics/tompaxton/lucythejunkdealersdaughter.html
Easy Money,Rickie Lee Jones,1979,https://www.azlyrics.com/lyrics/rickieleejones/easymoney.html
Low Class Reunion,Johnny Paycheck,1979,https://www.azlyrics.com/lyrics/johnnypaycheck/lowclassreunion.html
Into The Flame,"Trower, Robin",1979,https://www.azlyrics.com/lyrics/robintrower/intotheflame.html
Along Came Jones,George Jones,1980,https://www.azlyrics.com/lyrics/georgejones/alongcamejones.html
Take A Look,Aretha Franklin,1980,https://www.azlyrics.com/lyrics/arethafranklin/takealook.html
She's Made Of Faith,Marty Robbins,1980,https://www.azlyrics.com/lyrics/martyrobbins/shesmadeoffaith.html
That Final Love,Sniff 'N' The Tears,1981,https://www.azlyrics.com/lyrics/sniffnthetears/thatfinallove.html
All About A Feeling,"Fargo, Donna",1981,https://www.azlyrics.com/lyrics/donnafargo/allaboutafeeling.html
Silver And Gold,Tygers Of Pan Tang,1981,https://www.azlyrics.com/lyrics/tygersofpantang/silverandgold.html
You Never Give Me Your Money,"Vaughan, Sarah",1981,https://www.azlyrics.com/lyrics/sarahvaughan/younevergivemeyourmoney.html
My Only Wish,"Rabbitt, Eddie",1981,https://www.azlyrics.com/lyrics/eddierabbitt/myonlywish.html
I Fall To Pieces,"Williams, Paul",1981,https://www.azlyrics.com/lyrics/paulwilliams/ifalltopieces.html
Soul Mistake,INXS,1982,https://www.azlyrics.com/lyrics/inxs/soulmistake.html
From Small Things (Big Things One Day Come),Dave Edmunds,1982,https://www.azlyrics.com/lyrics/daveedmunds/fromsmallthingsbigthingsonedaycome.html
Mountain Of Love,Charley Pride,1982,https://www.azlyrics.com/lyrics/charleypride/mountainoflove.html
Our Love Is On The Faultline,"Gayle, Crystal",1982,https://www.azlyrics.com/lyrics/crystalgayle/ourloveisonthefaultline.html
I'll Do Anything,Gordon Lightfoot,1982,https://www.azlyrics.com/lyrics/gordonlightfoot/illdoanything.html
Hard Candy Christmas,Dolly Parton,1982,https://www.azlyrics.com/lyrics/dollyparton/hardcandychristmas.html
Speak,Swans,1982,https://www.azlyrics.com/lyrics/swans/speak.html
Bricklayer,Husker Du,1982,https://www.azlyrics.com/lyrics/huskerdu/bricklayer.html
The Other Woman,"Parker Jr., Ray",1982,https://www.azlyrics.com/lyrics/rayparkerjr/theotherwoman.html
Be My Baby Tonight,John Waite,1982,https://www.azlyrics.com/lyrics/johnwaite/bemybabytonight.html
Danger,"Gibb, Robin",1983,https://www.azlyrics.com/lyrics/robingibb/danger.html
Red Lights,Uriah Heep,1983,https://www.azlyrics.com/lyrics/uriahheep/redlights.html
I'll Make Believe,"Osborne, Jeffrey",1983,https://www.azlyrics.com/lyrics/jeffreyosborne/illmakebelieve.html
Lonely Nights,Uriah Heep,1983,https://www.azlyrics.com/lyrics/uriahheep/lonelynights.html
Dance In The Shadows,Tom Paxton,1983,https://www.azlyrics.com/lyrics/tompaxton/danceintheshadows.html
As Long As That,"Go-Betweens, The",1983,https://www.azlyrics.com/lyrics/gobetweens/aslongasthat.html
When I Fall In Love,"Iglesias, Julio",1984,https://www.azlyrics.com/lyrics/julioiglesias/whenifallinlove.html
Solitaire,Public Image Ltd.,1984,https://www.azlyrics.com/lyrics/publicimageltd/solitaire.html
Cherry Bomb,Joan Jett And The Blackhearts,1984,https://www.azlyrics.com/lyrics/joanjettandtheblackhearts/cherrybomb.html
Twentieth Century Fox,38 Special,1984,https://www.azlyrics.com/lyrics/38special/twentiethcenturyfox.html
Real Life,Sergio Mendes,1984,https://www.azlyrics.com/lyrics/sergiomendes/reallife.html
Tell Your Daddy,Ian Dury,1984,https://www.azlyrics.com/lyrics/iandury/tellyourdaddy.html
Cuntboy,KMFDM,1984,https://www.azlyrics.com/lyrics/kmfdm/cuntboy.html
It Must Be Love,"Jones, Rickie Lee",1984,https://www.azlyrics.com/lyrics/rickieleejones/itmustbelove.html
Rawhide,Scott Walker,1984,https://www.azlyrics.com/lyrics/scottwalker/rawhide.html
Haven't You Heard,"Strait, George",1985,https://www.azlyrics.com/lyrics/georgestrait/haventyouheard.html
Greatest Dream,Mary Black,1985,https://www.azlyrics.com/lyrics/maryblack/greatestdream.html
Liberation,Chumbawamba,1985,https://www.azlyrics.com/lyrics/chumbawamba/liberation.html
I'm Your Man,Barry Manilow,1985,https://www.azlyrics.com/lyrics/barrymanilow/imyourman.html
Friends Of Mine,Grave Digger,1985,https://www.azlyrics.com/lyrics/gravedigger/friendsofmine.html
Cuyahoga,R.E.M.,1986,https://www.azlyrics.com/lyrics/rem/cuyahoga.html
I Wonder,"Cray, Robert",1986,https://www.azlyrics.com/lyrics/robertcray/iwonder.html
Dreams Of Ordinary Men,Dragon,1986,https://www.azlyrics.com/lyrics/dragon/dreamsofordinarymen.html
Happy Hour,"Housemartins, The",1986,https://www.azlyrics.com/lyrics/housemartins/happyhour.html
Lap Of Luxury,Soul Asylum,1986,https://www.azlyrics.com/lyrics/soulasylum/lapofluxury.html
Locomotion Tango,Modern Talking,1987,https://www.azlyrics.com/lyrics/moderntalking/locomotiontango.html
Still Hanging 'Round,Hunters & Collectors,1987,https://www.azlyrics.com/lyrics/hunterscollectors/stillhanginground.html
The Way Back Home,"Gill, Vince",1987,https://www.azlyrics.com/lyrics/vincegill/thewaybackhome.html
Arabian Gold,Modern Talking,1987,https://www.azlyrics.com/lyrics/moderntalking/arabiangold.html
Y,"Fernandez, Vicente",1987,https://www.azlyrics.com/lyrics/vicentefernandez/y.html
The Do Wop,LL Cool J,1987,https://www.azlyrics.com/lyrics/llcoolj/thedowop.html
Only In My Dreams,"Gibson, Debbie",1987,https://www.azlyrics.com/lyrics/debbiegibson/onlyinmydreams.html
Love Will Find A Way,Yes,1987,https://www.azlyrics.com/lyrics/yes/lovewillfindaway.html
Speed Demon,Michael Jackson,1987,https://www.azlyrics.com/lyrics/michaeljackson/speeddemon.html
Slip Away,Pebbles,1987,https://www.azlyrics.com/lyrics/pebbles/slipaway.html
Blood From The Bandit,"Carnes, Kim",1988,https://www.azlyrics.com/lyrics/kimcarnes/bloodfromthebandit.html
In Your Room,"Bangles, The",1988,https://www.azlyrics.com/lyrics/bangles/inyourroom.html
She's Got A New Spell,Billy Bragg,1988,https://www.azlyrics.com/lyrics/billybragg/shesgotanewspell.html
Too Bad,Eric Clapton,1988,https://www.azlyrics.com/lyrics/ericclapton/toobad.html
Sexual Luv Affair,Rick James,1988,https://www.azlyrics.com/lyrics/rickjames/sexualluvaffair.html
African Sunset,Tommy Page,1988,https://www.azlyrics.com/lyrics/tommypage/africansunset.html
This Note's For You,Neil Young,1988,https://www.azlyrics.com/lyrics/neilyoung/thisnotesforyou.html
Joy To The World,Kenny Rogers,1989,https://www.azlyrics.com/lyrics/kennyrogers/joytotheworld.html
Cosas De La Vida,Gloria Trevi,1989,https://www.azlyrics.com/lyrics/gloriatrevi/cosasdelavida.html
Lud's Wedding,Sarah Brightman,1989,https://www.azlyrics.com/lyrics/sarahbrightman/ludswedding.html
Georgia On My Mind,"Bolton, Michael",1989,https://www.azlyrics.com/lyrics/michaelbolton/georgiaonmymind.html
Crack Attack,Grace Jones,1989,https://www.azlyrics.com/lyrics/gracejones/crackattack.html
Rumor Has It,Reba McEntire,1990,https://www.azlyrics.com/lyrics/rebamcentire/rumorhasit.html
Shelter Me,Cinderella,1990,https://www.azlyrics.com/lyrics/cinderella/shelterme.html
Strip It Down,Manic Street Preachers,1990,https://www.azlyrics.com/lyrics/manicstreetpreachers/stripitdown.html
All I Can See,Newsboys,1990,https://www.azlyrics.com/lyrics/newsboys/allicansee.html
I've Come To Expect It From You,"Strait, George",1990,https://www.azlyrics.com/lyrics/georgestrait/ivecometoexpectitfromyou.html
Buried In The Backyard,Cannibal Corpse,1990,https://www.azlyrics.com/lyrics/cannibalcorpse/buriedinthebackyard.html
Senza Di Te,"Bose, Miguel",1990,https://www.azlyrics.com/lyrics/miguelbose/senzadite.html
Thunderheads,Dixie Chicks,1990,https://www.azlyrics.com/lyrics/dixiechicks/thunderheads.html
Rocky Road,"Lowe, Nick",1990,https://www.azlyrics.com/lyrics/nicklowe/rockyroad.html
You Hung Your Lights In The Trees / A Craftman's Touch,Wire,1990,https://www.azlyrics.com/lyrics/wire/youhungyourlightsinthetreesacraftmanstouch.html
Longest Highway,Alison Krauss,1990,https://www.azlyrics.com/lyrics/alisonkrauss/longesthighway.html
Rockin' Rollercoaster,Helix,1990,https://www.azlyrics.com/lyrics/helix/rockinrollercoaster.html
Come Hell Or High Water,Poison,1990,https://www.azlyrics.com/lyrics/poison/comehellorhighwater.html
Whacker Humphries,"Moore, Christy",1991,https://www.azlyrics.com/lyrics/christymoore/whackerhumphries.html
When Lovers Become Strangers,Cher,1991,https://www.azlyrics.com/lyrics/cher/whenloversbecomestrangers.html
Hey You,"Winter, Johnny",1991,https://www.azlyrics.com/lyrics/johnnywinter/heyyou.html
When I Had You,Del Shannon,1991,https://www.azlyrics.com/lyrics/delshannon/whenihadyou.html
Deepest Of Hearts,"Waters, Crystal",1991,https://www.azlyrics.com/lyrics/crystalwaters/deepestofhearts.html
Renegade,Warren Zevon,1991,https://www.azlyrics.com/lyrics/warrenzevon/renegade.html
Beer And Bones,"Montgomery, John Michael",1992,https://www.azlyrics.com/lyrics/johnmichaelmontgomery/beerandbones.html
Keep Me From Harm,Peter Murphy,1992,https://www.azlyrics.com/lyrics/petermurphy/keepmefromharm.html
Box Set,Barenaked Ladies,1992,https://www.azlyrics.com/lyrics/barenakedladies/boxset.html
Where's Johnny,"McMurtry, James",1992,https://www.azlyrics.com/lyrics/jamesmcmurtry/wheresjohnny.html
Se L'amore,Marco Borsato,1992,https://www.azlyrics.com/lyrics/marcoborsato/selamore.html
Those Simple Things,Right Said Fred,1992,https://www.azlyrics.com/lyrics/rightsaidfred/thosesimplethings.html
Hello San Francisco,"Guy, Buddy",1992,https://www.azlyrics.com/lyrics/buddyguy/hellosanfrancisco.html
Mercy In You,Depeche Mode,1993,https://www.azlyrics.com/lyrics/depechemode/mercyinyou.html
Just Ask Fo' Lucy,"Kentucky Headhunters, The",1993,https://www.azlyrics.com/lyrics/kentuckyheadhunters/justaskfolucy.html
Don't Say It's Over,Randy Crawford,1993,https://www.azlyrics.com/lyrics/randycrawford/dontsayitsover.html
Angel,John Hiatt,1993,https://www.azlyrics.com/lyrics/johnhiatt/angel.html
Picture Postcards From L.A.,"Kadison, Joshua",1993,https://www.azlyrics.com/lyrics/joshuakadison/picturepostcardsfromla.html
Do Re Mi,Nanci Griffith,1993,https://www.azlyrics.com/lyrics/nancigriffith/doremi.html
Late At Night,Buffalo Tom,1993,https://www.azlyrics.com/lyrics/buffalotom/lateatnight.html
Everytime,Rick Astley,1993,https://www.azlyrics.com/lyrics/rickastley/everytime.html
On The Dunes,Donald Fagen,1993,https://www.azlyrics.com/lyrics/donaldfagen/onthedunes.html
The Song Of Solomon,"Bush, Kate",1993,https://www.azlyrics.com/lyrics/katebush/thesongofsolomon.html
Can't Get Enough Of Your Love,Taylor Dayne,1993,https://www.azlyrics.com/lyrics/taylordayne/cantgetenoughofyourlove.html
Heartland Feeling,Beck,1993,https://www.azlyrics.com/lyrics/beck/heartlandfeeling.html
Pegasus,Olivia Newton-John,1994,https://www.azlyrics.com/lyrics/olivianewtonjohn/pegasus.html
Let's Take A Walk Around The Block,Ella Fitzgerald,1994,https://www.azlyrics.com/lyrics/ellafitzgerald/letstakeawalkaroundtheblock.html
The Song Is Ended (But The Melody Lingers On),"Fitzgerald, Ella",1994,https://www.azlyrics.com/lyrics/ellafitzgerald/thesongisendedbutthemelodylingerson.html
The Country Diary Of A Subway Conductor,Silver Jews,1994,https://www.azlyrics.com/lyrics/silverjews/thecountrydiaryofasubwayconductor.html
